trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'e': 0.62188505646502, 'a': 0.612}",20,0,5.587642181127082,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'e': 0.6065306597126334, 'a': 0.61}",20,0,-55.33293147720708,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
21,False,"{'e': 0.5915553643668151, 'a': 0.608}",25,0,-37.38412563494019,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
22,False,"{'e': 0.5769498103804866, 'a': 0.606}",25,17,6.431786085478781,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'e': 0.5627048688069557, 'a': 0.604}",30,0,-118.94909027180235,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
24,False,"{'e': 0.5488116360940264, 'a': 0.602}",25,16,16.553269644998256,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'e': 0.5352614285189903, 'a': 0.6}",20,15,-0.37240360083265234,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'e': 0.522045776761016, 'a': 0.598}",20,10,15.928239371368493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'e': 0.5091564206075492, 'a': 0.596}",25,10,-16.064362627975836,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'e': 0.49658530379140947, 'a': 0.594}",20,0,-85.46707547886466,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'e': 0.4843245689553624, 'a': 0.592}",20,0,-24.385017210848787,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
30,False,"{'e': 0.4723665527410147, 'a': 0.59}",30,0,-75.03494614365913,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'e': 0.4607037809989658, 'a': 0.588}",25,16,-7.079418546674092,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
32,False,"{'e': 0.44932896411722156, 'a': 0.586}",25,9,18.005133843691475,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
33,False,"{'e': 0.4382349924649492, 'a': 0.584}",30,5,-32.14984109605315,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
34,False,"{'e': 0.42741493194872665, 'a': 0.582}",20,0,-41.15921846797091,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
35,False,"{'e': 0.4168620196785084, 'a': 0.58}",25,15,2.445698413395208,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'e': 0.4065696597405991, 'a': 0.578}",20,0,-20.160215141643107,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
37,False,"{'e': 0.39653141907499284, 'a': 0.576}",20,12,15.636968968551841,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'e': 0.3867410234545012, 'a': 0.574}",25,1,-12.833487617324744,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
39,False,"{'e': 0.3771923535631569, 'a': 0.572}",25,15,-39.31320312051628,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'e': 0.36787944117144233, 'a': 0.57}",25,0,-9.81821159040025,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
41,False,"{'e': 0.35879646540595156, 'a': 0.568}",25,0,-44.74651833030195,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'e': 0.3499377491111553, 'a': 0.566}",25,8,-10.132054346645642,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'e': 0.3412977553009937, 'a': 0.564}",25,8,4.601277880622634,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'e': 0.33287108369807955, 'a': 0.5619999999999999}",20,0,6.283181765773515,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
45,False,"{'e': 0.32465246735834974, 'a': 0.5599999999999999}",20,9,22.303532377677378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'e': 0.31663676937905316, 'a': 0.5579999999999999}",30,17,-9.787122155763157,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'e': 0.30881897968801986, 'a': 0.5559999999999999}",30,7,17.358550061411847,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'e': 0.301194211912202, 'a': 0.5539999999999999}",25,5,-25.977651267592208,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
